https://tudatalib.ulb.tu-darmstadt.de/handle/tudatalib/2478

Quelle	Autor	Titel	Jahr	Journal	Typ	DOI	Gelesen?	Empirisch?	Ausschlusspunkt	Ausschlussgrund	Kommentar	Feld	Thema	HMD	Interaction device	No Participants	Low Abstraction	Medium	High	Exactly like RE	Similar to RE	Different to RE	Training	No Training	Walking	Balance	Navigation / Orientation	Searching / Identifying	Reaching	Picking / Manual object interaction	Cognitive / Memory tasks	Spatial Perception	Quantitative	Qualitative	Experiment	Secondary research 	Subjective feedback	Consistent	Better	Worse
WOS	"Micarelli, Alessandro; Viziano, Andrea; Augimeri, Ivan; Micarelli, Domenico; Alessandrini, Marco"	Three-dimensional head-mounted gaming task procedure maximizes effects of vestibular rehabilitation in unilateral vestibular hypofunction: a randomized controlled pilot trial	2017	INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH		10.1097/MRR.0000000000000244	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation / Treatment																											
WOS	"Suzuki, Keisuke; Roseboom, Warrick; Schwartzman, David J.; Seth, Anil K."	A Deep-Dream Virtual Reality Platform for Studying Altered Perceptual Phenomenology	2017	SCIENTIFIC REPORTS		10.1038/s41598-017-16316-2	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Visual perception																											
WOS	"Navarro-Haro, Maria V.; Lopez del Hoyo, Yolanda; Campos, Daniel; Linehan, Marsha M.; Hoffman, Hunter G.; Garcia-Palacios, Azucena; Modrego-Alarcon, Marta; Borao, Luis; Garcia-Campayo, Javier"	Meditation experts try Virtual Reality Mindfulness: A pilot study evaluation of the feasibility and acceptability of Virtual Reality to facilitate mindfulness practice in people attending a Mindfulness conference.	2017	PLOS ONE		10.1371/journal.pone.0187777	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Training	Oculus Rift																										
WOS	Ramsey, Eleanor	VIRTUAL WOLVERHAMPTON: RECREATING THE HISTORIC CITY IN VIRTUAL REALITY	2017	ARCHNET-IJAR INTERNATIONAL JOURNAL OF ARCHITECTURAL RESEARCH		10.26687/archnet-ijar.v11i3.1395	Görge	Nein	Abstract	kein Bezug zu manueller Kommissionierung		Archäologie / Museen	Model design																											
WOS	"Naish, Jonathan; Burns, Alex"	Minimising operator dose during JET shutdown using virtual	2017	FUSION ENGINEERING AND DESIGN		10.1016/j.fusengdes.2017.03.131	Görge	Nein	Abstract	nur Technik		Ingenieurwesen / Physik	Visualisation																											
WOS	"Wischgoll, Thomas; Glines, Madison; Whitlock, Tyler; Guthrie, Bradley R.; Mowrey, Corinne M.; Parikh, Pratik J.; Flach, John"	Display Infrastructure for Virtual Environments	2017	JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY		10.2352/J.ImagingSci.Technol.2017.61.6.060406	Görge	Ja	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Baumeister, James; Ssin, Seung Youb; ElSayed, Neven A. M.; Dorrian, Jillian; Webb, David P.; Walsh, James A.; Simon, Timothy M.; Irlitti, Andrew; Smith, Ross T.; Kohler, Mark; Thomas, Bruce H."	Cognitive Cost of Using Augmented Reality Displays	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2735098	Görge	Ja	Abstract	kein VR																														
WOS	"Huber, T.; Paschold, M.; Hansen, C.; Lang, H.; Kneist, W."	I will do laparoscopy somewhere else. Total, highly immersive virtual reality without side effects?	2017	CHIRURG		10.1007/s00104-017-0465-5	Görge		Titel	nicht Englisch																														
WOS	"Huber, Tobias; Paschold, Markus; Hansen, Christian; Wunderling, Tom; Lang, Hauke; Kneist, Werner"	New dimensions in surgical training: immersive virtual reality laparoscopic simulation exhilarates surgical staff	2017	SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES		10.1007/s00464-017-5500-6	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung	evtl. Training von Chirurgie	Medizin	Training	HTC Vive	laparoscopic simulator	10																								
WOS	"Trombetta, Mateus; Bazzanello Henrique, Patricia Paula; Brum, Manoela Rogofski; Colussi, Eliane Lucia; Bertoletti De Marchi, Ana Carolina; Rieder, Rafael"	Motion Rehab AVE 3D: A VR-based exergame for post-stroke rehabilitation	2017	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE		10.1016/j.cmpb.2017.08.008	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation / Treatment																											
WOS	"Kelly, Jonathan W.; Cherep, Lucia A.; Siegel, Zachary D."	Perceived Space in the HTC Vive	2017	ACM TRANSACTIONS ON APPLIED PERCEPTION		10.1145/3106155	Görge	Ja	Sample		Comparison of perceived sitances in VR and real world	Hardwareentwicklung und Evaluation	Visual perception	HTC Vive	Controllers, Remote Control	76	x		x	x		x		x								x	x		x			x		x
WOS	"Moro, Christian; Stromberga, Zane; Raikos, Athanasios; Stirling, Allan"	The Effectiveness of Virtual and Augmented Reality in Health Sciences and Medical Anatomy	2017	ANATOMICAL SCIENCES EDUCATION		10.1002/ase.1696	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Medizin	Training																											
WOS	"Sauer, Igor M.; Queisner, Moritz; Tang, Peter; Moosburner, Simon; Hoepfner, Ole; Horner, Rosa; Lohmann, Rudiger; Pratschke, Johann"	Mixed Reality in Visceral Surgery Development of a Suitable Workflow and Evaluation of Intraoperative Use-cases	2017	ANNALS OF SURGERY		10.1097/SLA.0000000000002448	Görge	Ja	Abstract	kein VR		Medizin	Rehabilitation / Treatment																											
WOS	"Deb, Shuchisnigdha; Carruth, Daniel W.; Sween, Richard; Strawderman, Lesley; Garrison, Teena M."	Efficacy of virtual reality in pedestrian safety research	2017	APPLIED ERGONOMICS		10.1016/j.apergo.2017.03.007	Görge	Ja	Sample		Analysis of spatial perception in VR for safe road crossing of pedestrians	Ergonomie	Visual perception	HTC Vive		21	x			x			x									x	x			x		x		
WOS	"Pozeg, Polona; Palluel, Estelle; Ronchi, Roberta; Solca, Marco; Al-Khodairy, Abdul-Wahab; Jordan, Xavier; Kassouha, Ammar; Blanke, Olaf"	Virtual reality improves embodiment and neuropathic pain caused by spinal cord injury	2017	NEUROLOGY		10.1212/WNL.0000000000004585	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Perception of Pain / Discomfort																											
WOS	"Choi, Hojong; Ryu, Jae Myung; Kim, Jin Ha"	Tolerance Analysis of Focus-adjustable Head-mounted Displays	2017	CURRENT OPTICS AND PHOTONICS		10.3807/COPP.2017.1.5.474	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Evaluation of VR systems																											
WOS	"Gerber, Stephan M.; Jeitziner, Marie-Madlen; Wyss, Patric; Chesham, Alvin; Urwyler, Prabitha; Muri, Rene M.; Jakob, Stephan M.; Nef, Tobias"	Visuo-acoustic stimulation that helps you to relax: A virtual reality setup for patients in the intensive care unit	2017	SCIENTIFIC REPORTS		10.1038/s41598-017-13153-1	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Perception of Pain / Discomfort																											
WOS	"Yang, Tong; Jin, Guo-Fan; Zhu, Jun"	Automated design of freeform imaging systems	2017	LIGHT-SCIENCE & APPLICATIONS		10.1038/lsa.2017.81	Görge	Nein	Abstract	kein VR																														
WOS	"Yamashita, Takuzo; Pal, Mahendra Kumar; Matsuzaki, Kazutoshi; Tomozawa, Hiromitsu"	Development of a Virtual Reality Experience System for Interior Damage Due to an Earthquake - Utilizing E-Defense Shake Table Test -	2017	JOURNAL OF DISASTER RESEARCH		10.20965/jdr.2017.p0882	Görge	Nein	Abstract	nur Technik		Ingenieurwesen / Physik	Model design																											
WOS	"Stupar-Rutenfrans, Snezana; Ketelaars, Loes E. H.; van Gisbergen, Marnix S."	Beat the Fear of Public Speaking: Mobile 360 degrees Video Virtual Reality Exposure Training in Home Environment Reduces Public Speaking Anxiety	2017	CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING		10.1089/cyber.2017.0174	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Training																											
WOS	"Stepan, Katelyn; Zeiger, Joshua; Hanchuk, Stephanie; Del Signore, Anthony; Shrivastava, Raj; Govindaraj, Satish; Iloreta, Alfred"	Immersive virtual reality as a teaching tool for neuroanatomy	2017	INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY		10.1002/alr.21986	Görge	Ja	Volltext	kein Bezug zu manueller Kommissionierung	interessant: Chirurgie-Training	Medizin	Training	Oculus Rift	Controller	66																								
WOS	"Banaei, Maryam; Hatami, Javad; Yazdanfar, Abbas; Gramann, Klaus"	Walking through Architectural Spaces: The Impact of Interior Forms on Human Brain Dynamics	2017	FRONTIERS IN HUMAN NEUROSCIENCE		10.3389/fnhum.2017.00477	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Bauwesen / Architektur	Visual perception																											
WOS	"Gomez, Jocelyn; Hoffman, Hunter G.; Bistricky, Steven L.; Gonzalez, Miriam; Rosenberg, Laura; Sampaio, Mariana; Garcia-Palacios, Azucena; Navarro-Haro, Maria V.; Alhalabi, Wadee; Rosenberg, Marta; Meyer, Walter J., III; Linehan, Marsha M."	"The Use of Virtual Reality Facilitates Dialectical Behavior Therapy (R) ""Observing Sounds and Visuals"" Mindfulness Skills Training Exercises for a Latino Patient with Severe Burns: A Case Study"	2017	FRONTIERS IN PSYCHOLOGY		10.3389/fpsyg.2017.01611	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Rehabilitation / Treatment	Oculus Rift																										
WOS	"Maereg, Andualem Tadesse; Nagar, Atulya; Reid, David; Secco, Emanuele L."	Wearable Vibrotactile Haptic Device for Stiffness Discrimination during Virtual Interactions	2017	FRONTIERS IN ROBOTICS AND AI		10.3389/frobt.2017.00042	Görge	Ja	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Haptics / Physical interaction	Oculus Rift																										
WOS	"Freina, Laura; Bottino, Rosa; Tavella, Mauro; Chiorri, Carlo"	Evaluation of Visuo-Spatial Perspective Taking Skills using a Digital Game with Different Levels of Immersion	2017	INTERNATIONAL JOURNAL OF SERIOUS GAMES		10.17083/ijsg.v4i3.178	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Visual perception																											
WOS	"Liang, Hui; Chang, Jian; Deng, Shujie; Chen, Can; Tong, Ruofeng; Zhang, Jian Jun"	Exploitation of multiplayer interaction and development of virtual puppetry storytelling using gesture control and stereoscopic devices	2017	COMPUTER ANIMATION AND VIRTUAL WORLDS		10.1002/cav.1727	Görge	Ja	Abstract	nur Technik		Bildungswesen	Haptics / Physical interaction																											
WOS	"Dorozhkin, Denis; Olasky, Jaisa; Jones, Daniel B.; Schwaitzberg, Steven D.; Jones, Stephanie B.; Cao, Caroline G. L.; Molina, Marcos; Henriques, Steven; Wang, Jinling; Flinn, Jeff; De, Suvranu"	OR fire virtual training simulator: design and face validity	2017	SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES		10.1007/s00464-016-5379-7	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Medizin	Training																											
WOS	"Papaefthymiou, Margarita; Hildenbrand, Dietmar; Papagiannakis, George"	A Conformal Geometric Algebra Code Generator Comparison for Virtual Character Simulation in Mixed Reality	2017	ADVANCES IN APPLIED CLIFFORD ALGEBRAS		10.1007/s00006-016-0689-3	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Software development																											
WOS	"Tidoni, Emmanuele; Abu-Alqumsan, Mohammad; Leonardis, Daniele; Kapeller, Christoph; Fusco, Gabriele; Guger, Cristoph; Hintermller, Cristoph; Peer, Angelika; Frisoli, Antonio; Tecchia, Franco; Bergamasco, Massimo; Aglioti, Salvatore Maria"	Local and Remote Cooperation With Virtual and Robotic Agents: A P300 BCI Study in Healthy and People Living With Spinal Cord Injury	2017	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING		10.1109/TNSRE.2016.2626391	Görge	Ja	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Control of VR / Human-Computer Interface																											
WOS	"Gootjes-Dreesbach, Luise; Pickup, Lyndsey C.; Fitzgibbon, Andrew W.; Glennerster, Andrew"	Comparison of view-based and reconstruction-based models of human navigational strategy	2017	JOURNAL OF VISION		10.1167/17.9.11	Görge	Ja	Abstract	VR nur als Methode		Psychology / Human factors	Movement / Navigation																											
WOS	"Ragan, Eric D.; Scerbo, Siroberto; Bacim, Felipe; Bowman, Doug A."	Amplified Head Rotation in Virtual Reality and the Effects on 3D Search, Training Transfer, and Spatial Orientation	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2016.2601607	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Visual perception																											
WOS	"Punpongsanon, Parinya; Guy, Emilie; Iwai, Daisuke; Sato, Kosuke; Boubekeur, Tamy"	Extended LazyNav: Virtual 3D Ground Navigation for Large Displays and Head-Mounted Displays	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2016.2586071	Görge	Ja	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Movement / Navigation																											
WOS	"Silva, Igor Macedo; Moioli, Renan C."	A method for creating interactive, user-resembling avatars	2017	PEERJ COMPUTER SCIENCE		0	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Visualisation																											
WOS	"Matzen, Kevin; Cohen, Michael F.; Evans, Bryce; Kopf, Johannes; Szeliski, Richard"	Low-Cost 360 Stereo Photography and Video Capture	2017	ACM TRANSACTIONS ON GRAPHICS		10.1145/3072959.3073645	Görge	Nein	Abstract	kein VR		Hardwareentwicklung und Evaluation	Visualisation																											
WOS	Hui, Zhang	Head-mounted display-based intuitive virtual reality training system for the mining industry	2017	INTERNATIONAL JOURNAL OF MINING SCIENCE AND TECHNOLOGY		10.1016/j.ijmst.2017.05.005	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Mining	Training																											
WOS	"Puyana-Romero, Virginia; Solange Lopez-Segura, Lilian; Maffei, Luigi; Hernandez-Molina, Ricardo; Masullo, Massimiliano"	Interactive Soundscapes: 360 degrees-Video Based Immersive Virtual Reality in a Tool for the Participatory Acoustic Environment Evaluation of Urban Areas	2017	ACTA ACUSTICA UNITED WITH ACUSTICA		10.3813/AAA.919086	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Perception of Sound																											
WOS	"Nesbitt, Keith; Davis, Simon; Blackmore, Karen; Nalivaiko, Eugene"	Correlating reaction time and nausea measures with traditional measures of cybersickness	2017	DISPLAYS		10.1016/j.displa.2017.01.002	Görge	Ja	Abstract	VR nur als Methode		Human Biology	Cybersickness / Fatigue																											
WOS	"Maimone, Andrew; Georgiou, Andreas; Kollin, Joel S."	Holographic Near-Eye Displays for Virtual and Augmented Reality	2017	ACM TRANSACTIONS ON GRAPHICS		10.1145/3072959.3073624	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Ziak, Peter; Holm, Anders; Halicka, Juraj; Mojzis, Peter; Pinero, David P."	Amblyopia treatment of adults with dichoptic training using the virtual reality oculus rift head mounted display: preliminary results	2017	BMC OPHTHALMOLOGY		10.1186/s12886-017-0501-8	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation / Treatment	Oculus Rift																										
WOS	"Ahamba, Godson; Roberts, David; Eachus, Peter"	Triggering and measuring social inhibitory response in humans immersed in interactions with virtual humans	2017	ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE		0	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Collaboration / Interaction																											
WOS	"Hodrien, Andrew; Galpin, Adam; Roberts, David; Kenney, Laurence"	Exploring the impact of hand movement delays and hand appearance on myoelectric prosthesis embodiment using Immersive Virtual Reality	2017	ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE		0	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Body Illusion																											
WOS	"Martel, Erin; Muldner, Kasia"	Controlling VR games: control schemes and the player experience	2017	ENTERTAINMENT COMPUTING		10.1016/j.entcom.2017.04.004	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Haptics / Physical interaction																											
WOS	"Salomoni, Paola; Prandi, Catia; Roccetti, Marco; Casanova, Lorenzo; Marchetti, Luca; Marfia, Gustavo"	Diegetic user interfaces for virtual environments with HMDs: a user experience study with oculus rift	2017	JOURNAL ON MULTIMODAL USER INTERFACES		10.1007/s12193-016-0236-5	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Visual perception	Oculus Rift																										
WOS	"Ghita, Alexandra; Ferrer-Garcia, Marta; Gutierrez-Maldonado, Jos"	Behavioral, craving, and anxiety responses among light and heavy drinking college students in alcohol-related virtual environments	2017	ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE		0	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Measurement of body functions	Oculus Rift																										
WOS	"Ferrer-Garcia, Marta; Porras-Garcia, Bruno; Gonzalez-Ibanez, Cristina; Gracia-Blanes, Mireia; Vilalta-Abella, Ferran; Pla-Sanjuanelo, Joana; Riva, Giuseppe; Dakanalis, Antonios; Achotegui-Loizate, Jose; Talarn-Caparros, Antoni; Ribas-Sabate, Joan; Andreu-Gracia, Alexis; Diaz-Marsa, Marina; Monras-Arnau, Miquel; Serrano-Troncoso, Eduardo; Treasure, Janet; Gutierrez-Maldonado, Jose"	"Does owning a ""fatter"" virtual body increase body anxiety in college students?"	2017	ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE		0	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Body Illusion																											
WOS	"Ida, Hirofumi; Mohapatra, Sambit; Aruin, Alexander"	Control of vertical posture while elevating one foot to avoid a real or virtual obstacle	2017	EXPERIMENTAL BRAIN RESEARCH		10.1007/s00221-017-4929-0	Görge	Ja	Sample		interssant. Vergleich Ausweichen von Hindernissen	Ergonomie	Movement / Navigation	iWear VR920, Vuzix Corp.		10		x		x				x	x								x		x					x
WOS	"Niehorster, Diederick C.; Li, Li; Lappe, Markus"	The Accuracy and Precision of Position and Orientation Tracking in the HTC Vive Virtual Reality System for Scientific Research	2017	I-PERCEPTION		10.1177/2041669517708205	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Tracking / Motion Capturing (Evaluation)	HTC Vive																										
WOS	"Seo, Min-Woo; Choi, Song-Woo; Lee, Sang-Lyn; Oh, Eui-Yeol; Baek, Jong-Sang; Kang, Suk-Ju"	Photosensor-Based Latency Measurement System for Head-Mounted Displays	2017	SENSORS		10.3390/s17051112	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Turban, Laura; Urban, Fabrice; Guillotel, Philippe"	Extrafoveal Video Extension for an Immersive Viewing Experience	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2016.2527649	Görge	Nein	Abstract	kein VR		Hardwareentwicklung und Evaluation	Visual perception																											
WOS	"Ucar, Erdem; Ustunel, Hakan; Civelek, Turhan; Umut, Ilhan"	Effects of using a force feedback haptic augmented simulation on the attitudes of the gifted students towards studying chemical bonds in virtual reality environment	2017	BEHAVIOUR & INFORMATION TECHNOLOGY		10.1080/0144929X.2016.1264483	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Bildungswesen	Haptics / Physical interaction																											
WOS	"Smith, Ashley; Carlow, Klancy; Biddulph, Tara; Murray, Brooke; Paton, Melissa; Harvie, Daniel S."	Contextual modulation of pain sensitivity utilising virtual environments	2017	BRITISH JOURNAL OF PAIN		10.1177/2049463717698349	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Perception of Pain / Discomfort																											
WOS	"Tieri, Gaetano; Gioia, Annamaria; Scandola, Michele; Pavone, Enea F.; Aglioti, Salvatore M."	Visual appearance of a virtual upper limb modulates the temperature of the real hand: a thermal imaging study in Immersive Virtual Reality	2017	EUROPEAN JOURNAL OF NEUROSCIENCE		10.1111/ejn.13545	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Human Biology	Body Illusion																											
WOS	"Chittaro, Luca; Sioni, Riccardo; Crescentini, Cristiano; Fabbro, Franco"	Mortality salience in virtual reality experiences and its effects on users' attitudes towards risk	2017	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES		10.1016/j.ijhcs.2017.01.002	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Emotions / Empathy / Fear																											
WOS	Hua, Hong	Enabling Focus Cues in Head-Mounted Displays	2017	PROCEEDINGS OF THE IEEE		10.1109/JPROC.2017.2648796	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Cybersickness / Fatigue																											
WOS	"Anglin, J. M.; Sugiyama, T.; Liew, S. -L."	Visuomotor adaptation in head-mounted virtual reality versus conventional training	2017	SCIENTIFIC REPORTS		10.1038/srep45469	Görge	Ja	Sample		Training of visumotor skills in VR and in reality	Psychology / Human factors	Training	Oculus Rift DK2		24			x	x			x					x			x		x		x			x		x
WOS	Leanza, Federica	Consumer Neuroscience: the traditional and VR TV Commercial	2017	NEUROPSYCHOLOGICAL TRENDS		10.7358/neur-2017-021-lean	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Retail / Marketing	Perception of prodcuts / Advertisement																											
WOS	"Regan, Matthew; Miller, Gavin S. P."	The Problem of Persistence with Rotating Displays	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2656979	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Visual perception																											
WOS	"de Jesus Oliveira, Victor Adriel; Brayda, Luca; Nedel, Luciana; Maciel, Anderson"	Designing a Vibrotactile Head-mounted Display for Spatial Awareness in 3D Spaces	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2657238	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Kim, MyoungGon; Cho, SungIk; Tanh Quang Tran; Kim, Seong-Pil; Kwon, Ohung; Han, JungHyun"	Scaled Jump in Gravity-reduced Virtual Environments	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2657139	Görge	Nein	Abstract	kein VR		Ingenieurwesen / Physik	Hardware development																											
WOS	"Li, Changyang; Liang, Wei; Quigley, Chris; Zhao, Yibiao; Yu, Lap-Fai"	Earthquake Safety Training through Virtual Drills	2017	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2656958	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Training																											
WOS	"Egger, Jan; Gall, Markus; Wallner, Juergen; Boechat, Pedro; Hann, Alexander; Li, Xing; Chen, Xiaojun; Schmalstieg, Dieter"	HTC Vive MeVisLab integration via OpenVR for medical applications	2017	PLOS ONE		10.1371/journal.pone.0173972	Görge	Nein	Abstract	nur Technik		Medizin	Model design	HTC Vive																										
WOS	"Smolyanskiy, Nikolai; Gonzalez-Franco, Mar"	Stereoscopic First Person View System for Drone Navigation	2017	FRONTIERS IN ROBOTICS AND AI		10.3389/frobt.2017.00011	Görge	Ja	Abstract	nur Technik		Ingenieurwesen / Physik	Remote Control / Digital Twin																											
WOS	"Cho, Hye-Seung; Kim, Hyoung-Gook"	Interactive sound experience interface based on virtual concert hall	2017	JOURNAL OF THE ACOUSTICAL SOCIETY OF KOREA		10.7776/ASK.2017.36.2.130	Görge		Titel	nicht Englisch																														
WOS	"Wu, Chien-Min; Hsu, Chih-Wen; Lee, Tzu-Kuei; Smith, Shana"	A virtual reality keyboard with realistic haptic feedback in a fully immersive virtual environment	2017	VIRTUAL REALITY		10.1007/s10055-016-0296-6	Görge	Ja	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Haptics / Physical interaction																											
WOS	"Munafo, Justin; Diedrick, Meg; Stoffregen, Thomas A."	The virtual reality head-mounted display Oculus Rift induces motion sickness and is sexist in its effects	2017	EXPERIMENTAL BRAIN RESEARCH		10.1007/s00221-016-4846-7	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Human Biology	Cybersickness / Fatigue	Oculus Rift																										
WOS	"Gavgani, Alireza Mazloumi; Nesbitt, Keith V.; Blackmore, Karen L.; Nalivaiko, Eugene"	Profiling subjective symptoms and autonomic changes associated with cybersickness	2017	AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL		10.1016/j.autneu.2016.12.004	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Human Biology	Cybersickness / Fatigue																											
WOS	"Harjunen, Ville J.; Ahmed, Imtiaj; Jacucci, Giulio; Ravaja, Niklas; Spape, Michiel M."	Manipulating Bodily Presence Affects Cross-Modal Spatial Attention: A Virtual-Reality-Based ERP Study	2017	FRONTIERS IN HUMAN NEUROSCIENCE		10.3389/fnhum.2017.00079	Görge	Ja	Abstract	VR nur als Methode		Psychology / Human factors	Body Illusion																											
WOS	"Kim, Aram; Darakjian, Nora; Finley, James M."	Walking in fully immersive virtual environments: an evaluation of potential adverse effects in older adults and individuals with Parkinson's disease	2017	JOURNAL OF NEUROENGINEERING AND REHABILITATION		10.1186/s12984-017-0225-2	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Medizin	Rehabilitation / Treatment	Oculus Rift																										
WOS	"Gonzalez-Franco, Mar; Pizarro, Rodrigo; Cermeron, Julio; Li, Katie; Thorn, Jacob; Hutabarat, Windo; Tiwari, Ashutosh; Bermell-Garcia, Pablo"	Immersive Mixed Reality for Manufacturing Training	2017	FRONTIERS IN ROBOTICS AND AI		10.3389/frobt.2017.00003	Görge	Ja	Abstract	kein VR		Manufacturing	Training																											
WOS	"Castro-Gonzalez, David; Hernando Barbosa, Luis; Prada-Jimenez, Vladimir; Conde-Mendez, Gregory"	Design and development of an immersive virtual environment for teaching of the superposition of movements principle for engineering students	2017	REVISTA EDUCACION EN INGENIERIA		10.15675/gepros.v12i1.1605	Görge		Titel	nicht Englisch																														
WOS	"Fang, Sandra; Peshkin, Michael; MacIver, Malcolm A."	Human-in-the-loop active electrosense	2017	BIOINSPIRATION & BIOMIMETICS		10.1088/1748-3190/12/1/014001	Görge	Ja	Abstract	nur Technik		Ingenieurwesen / Physik	Visualisation																											
WOS	"Jang, Youngkyoon; Jeon, Ikbeom; Kim, Tae-Kyun; Woo, Woontack"	Metaphoric Hand Gestures for Orientation-Aware VR Object Manipulation With an Egocentric Viewpoint	2017	IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS		10.1109/THMS.2016.2611824	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Control of VR / Human-Computer Interface																											
WOS	"Choi, Hee-Soo; Kim, Sang-Heon"	A content service deployment plan for metaverse museum exhibitions-Centering on the combination of beacons and HMDs	2017	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT		10.1016/j.ijinfomgt.2016.04.017	Görge	Ja	Abstract	kein VR		Archäologie / Museen	Visualisation																											
