Titel,Autor,Jahr,Journal,Typ,DOI
inhabitat: an imaginary ecosystem in a children's science museum,"ji, haru hyunkyung; wakefield, graham",2018,leonardo,,10.1162/leon_a_01641
high-performance virtual reality volume rendering of original optical coherence tomography point-cloud data enhanced with real-time ray casting,"maloca, peter m.; de carvalho, j. emanuel ramos; heeren, tjebo; hasler, pascal w.; mushtaq, faisal; mon-williams, mark; scholl, hendrik p. n.; balaskas, konstantinos; egan, catherine; tufail, adnan; witthauer, lilian; cattin, philippe c.",2018,translational vision science & technology,,10.1167/tvst.7.4.2
immersive virtual reality experiences for all-sky data,"fluke, c. j.; barnes, d. g.",2018,publications of the astronomical society of australia,,10.1017/pasa.2018.19
using the virtual multitasking test to assess the realization of intentions: a preliminary psychometric study,"banville, frederic; provencher, marianne; verhulst, eulalie; richard, paul; couture, jean-francois; flores, thomas; allain, philippe",2018,annual review of cybertherapy and telemedicine,,0
effects of mixed-reality on players' behaviour and immersion in a cultural tourism game: a cognitive processing perspective,"raptis, george e.; fidas, christos; avouris, nikolaos",2018,international journal of human-computer studies,,10.1016/j.ijhcs.2018.02.003
"assessing simulation, virtual reality, and television modalities in clinical training","dang, bryan k.; palicte, jeland s.; valdez, andre; o'leary-kelley, colleen",2018,clinical simulation in nursing,,10.1016/j.ecns.2018.03.001
artificial versus video-based immersive virtual surroundings: analysis of performance and user's preference,"huber, tobias; paschold, markus; hansen, christian; lang, hauke; kneist, werner",2018,surgical innovation,,10.1177/1553350618761756
modulation of excitability in the temporoparietal junction relieves virtual reality sickness,"takeuchi, naoyuki; mori, takayuki; suzukamo, yoshimi; izumi, shin-ichi",2018,cyberpsychology behavior and social networking,,10.1089/cyber.2017.0499
vr-embedded bim immersive system for qs engineering education,"wang, chen; li, heng; kho, song y.",2018,computer applications in engineering education,,10.1002/cae.21915
an 18 megapixel 4.3 '' 1443 ppi 120 hz oled display for wide field of view high acuity head mounted displays,"vieri, carlin; lee, grace; balram, nikhil; jung, sang hoon; yang, joon young; yoon, soo young; kang, in byeong",2018,journal of the society for information display,,10.1002/jsid.658
ocular tolerance of contemporary electronic display devices,"clark, andrew j.; yang, paul; khaderi, khizer r.; moshfeghi, andrew a.",2018,ophthalmic surgery lasers & imaging retina,,10.3928/23258160-20180501-08
empowerment and embodiment for collaborative mixed reality systems,"pan, ye; sinclair, david; mitchell, kenny",2018,computer animation and virtual worlds,,10.1002/cav.1838
evaluating multiple levels of an interaction fidelity continuum on performance and learning in near-field training simulations,"bhargava, ayush; bertrand, jeffrey w.; gramopadhye, anand k.; madathil, kapil c.; babu, sabarish v.",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2018.2794639
gaze-aware streaming solutions for the next generation of mobile vr experiences,"lungaro, pietro; sjoberg, rickard; valero, alfredo jose fanghella; mittal, ashutosh; tollmar, konrad",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2018.2794119
parallax360: stereoscopic 360 degrees scene representation for head-motion parallax,"luo, bicheng; xu, feng; richardt, christian; yong, jun-hai",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2018.2794071
ascending and descending in virtual reality: simple and safe system using passive haptics,"nagao, ryohei; matsumoto, keigo; narumi, takuji; tanikawa, tomohiro; hirose, michitaka",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2018.2793038
"correlation between perception of color, shadows, and surface textures and the realism of a scene in virtual reality","pardo, pedro j.; isabel suero, maria; luis perez, angel",2018,journal of the optical society of america a-optics image science and vision,,10.1364/JOSAA.35.00B130
effects of augmented reality on the performance of teleoperated industrial assembly tasks in a robotic embodiment,"brizzi, filippo; peppoloni, lorenzo; graziano, alessandro; di stefano, erika; avizzano, carlo alberto; ruffaldi, emanuele",2018,ieee transactions on human-machine systems,,10.1109/THMS.2017.2782490
influence of bone-conducted vibration on simulator sickness in virtual reality,"weech, seamas; moon, jae; troje, nikolaus f.",2018,plos one,,10.1371/journal.pone.0194137
the student experience with varying immersion levels of virtual reality simulation,"farra, sharon l.; smith, sherrill j.; ulrich, deborah l.",2018,nursing education perspectives,,10.1097/01.NEP.0000000000000258
perceptual video quality metric for compression artefacts: from two-dimensional to omnidirectional,"zou, wenjie; yang, fuzheng; wan, shuai",2018,iet image processing,,10.1049/iet-ipr.2017.0826
high-resolution additive light field near-eye display by switchable pancharatnam-berry phase lenses,"zhan, tao; lee, yun-han; wu, shin-tson",2018,optics express,,10.1364/OE.26.004863
immersive low-cost virtual reality treatment for phantom limb pain: evidence from two cases,"ambron, elisabetta; miller, alexander; kuchenbecker, katherine j.; buxbaum, laurel j.; coslett, h. branch",2018,frontiers in neurology,,10.3389/fneur.2018.00067
the effect of visual stimuli on stability and complexity of postural control,"luo, haizhen; wang, xiaoyun; fan, mengying; deng, lingyun; jian, chuyao; wei, miaoluan; luo, jie",2018,frontiers in neurology,,10.3389/fneur.2018.00048
an amoled pixel circuit for high image quality of 1000ppi mobile displays in ar and vr applications,"keum, nack-hyeon; hong, seong-kwan; chai, chong chul; kwon, oh-kyong",2018,journal of the society for information display,,10.1002/jsid.638
exploring perceived restoration potential of urban green enclosure through immersive virtual environments,"tabrizian, payam; baran, perver k.; smith, william r.; meentemeyer, ross k.",2018,journal of environmental psychology,,10.1016/j.jenvp.2018.01.001
improved virtual reality perception with calibrated stereo and variable focus for industrial use,"segura, alvaro; barandiaran, javier; moreno, aitor; barandiaran, inigo; florez, julian",2018,international journal of interactive design and manufacturing - ijidem,,10.1007/s12008-017-0377-0
augmented reality versus virtual reality for 3d object manipulation,"krichenbauer, max; yamamoto, goshiro; taketom, takafumi; sandor, christian; kato, hirokazu",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2658570
"experiencing nature through immersive virtual environments: environmental perceptions, physical engagement, and affective responses during a simulated nature walk","calogiuri, giovanna; litleskare, sigbjorn; fagerheim, kaia a.; rydgren, tore l.; brambilla, elena; thurston, miranda",2018,frontiers in psychology,,10.3389/fpsyg.2017.02321
missing depth cues in virtual reality limit performance and quality of three dimensional reaching movements,"gerig, nicolas; mayo, johnathan; baur, kilian; wittmann, frieder; riener, robert; wolf, peter",2018,plos one,,10.1371/journal.pone.0189275
"from archive, to access, to experience-historical documents as a basis for immersive experiences","huang, jiawei; bagher, mahda m.; ross, heather dohn; piekielek, nathan; wallgrun, jan oliver; zhao, jiayan; klippel, alexander",2018,journal of map & geography libraries,,10.1080/15420353.2018.1498427
an underwater tablet for documentation and use of submerged archaeological sites,"bruno, fabio; petriaggi, barbara davidde; mangeruga, marino; cozza, marco",2018,archeomatica-tecnologie per i beni culturali,,0
disseminating civil engineering through virtual reality: an immersive interface,"dinis, fabio matoseiro; martins, joao pocas; carvalho, barbara rangel; guimaraes, ana sofia",2018,international journal of online engineering,,10.3991/ijoe.v14i05.7788
touring the 'world picture': virtual reality and the tourist gaze,"leotta, alfio; ross, miriam",2018,studies in documentary film,,10.1080/17503280.2018.1503859
using virtual reality to train emotional and social skills in children with autism spectrum disorder,"yuan, sze ngar vanessa; ip, horace ho shing",2018,london journal of primary care,,10.1080/17571472.2018.1483000
immersive gesture interfaces for navigation of 3d maps in hmd-based mobile virtual environments,"lee, yea som; sohn, bong-soo",2018,mobile information systems,,10.1155/2018/2585797
vr interactive feature of html5-based webvr control laboratory by using head-mounted display,"ye, quan; hu, wenshan; zhou, hong; lei, zhongcheng; guan, shiqi",2018,international journal of online engineering,,10.3991/ijoe.v14i03.8112
bci and fes based therapy for stroke rehabilitation using vr facilities,"lupu, robert gabriel; irimia, danut constantin; ungureanu, florina; poboroniuc, marian silviu; moldoveanu, alin",2018,wireless communications & mobile computing,,10.1155/2018/4798359
multimodal evaluation of the differences between real and virtual assemblies,"sagardia, mikel; hulin, thomas",2018,ieee transactions on haptics,,10.1109/TOH.2017.2741488
requirements for optical systems for virtual displays,"ryu, jaeyeol; muravyev, n. v.; putilin, a. n.",2018,bulletin of the lebedev physics institute,,10.3103/S1068335618010049
effects of display type and motion control on cybersickness in a virtual bike simulator,"mittelstaedt, justin; wacker, jan; stelling, dirk",2018,displays,,10.1016/j.displa.2018.01.002
zero latency: real-time synchronization of bim data in virtual reality for collaborative decision-making,"du, jing; zou, zhengbo; shi, yangming; zhao, dong",2018,automation in construction,,10.1016/j.autcon.2017.10.009
effect of interaction based on augmented context in immersive virtual reality environment,"kang, jiyoung",2018,wireless personal communications,,10.1007/s11277-017-4954-0
effectiveness of a virtual reality intervention to minimize pediatric stress and pain intensity during venipuncture,"piskorz, joanna; czub, marcin",2018,journal for specialists in pediatric nursing,,10.1111/jspn.12201
orientation in virtual reality does not fully measure up to the real-world,"kimura, kazushige; reichert, james f.; olson, ashley; pouya, omid ranjbar; wang, xikui; moussavi, zahra; kelly, debbie m.",2017,scientific reports,,10.1038/s41598-017-18289-8
hybrid ps-v technique: a novel sensor fusion approach for fast mobile eye-tracking with sensor-shift aware correction,"rigas, ioannis; raffle, hayes; komogortsev, oleg v.",2017,ieee sensors journal,,10.1109/JSEN.2017.2762704
fear of falling and postural reactivity in patients with glaucoma,"daga, fablo b.; diniz-filho, alberto; boer, erwin r.; gracitelli, carolina p. b.; abe, ricardo y.; medeiros, felipe a.",2017,plos one,,10.1371/journal.pone.0187220
motion instruction method using head motion-associated virtual stereo rearview,"nomura, yoshihiko; fukuoka, hiroaki; sakamoto, ryota; sugiura, tokuhiro",2017,technologies,,10.3390/technologies5040077
development of a three-dimensional multimode visual immersive system with applications in telepresence,"luo, hao; pan, tien-szu; pan, jeng-shyang; chu, shu-chuan; yang, bian",2017,ieee systems journal,,10.1109/JSYST.2015.2410533
history and current state of virtual reality technology and its application in language education,ye weibing; liu shijuan; song fei,2017,journal of technology and chinese language teaching,,0
three-dimensional head-mounted gaming task procedure maximizes effects of vestibular rehabilitation in unilateral vestibular hypofunction: a randomized controlled pilot trial,"micarelli, alessandro; viziano, andrea; augimeri, ivan; micarelli, domenico; alessandrini, marco",2017,international journal of rehabilitation research,,10.1097/MRR.0000000000000244
a deep-dream virtual reality platform for studying altered perceptual phenomenology,"suzuki, keisuke; roseboom, warrick; schwartzman, david j.; seth, anil k.",2017,scientific reports,,10.1038/s41598-017-16316-2
meditation experts try virtual reality mindfulness: a pilot study evaluation of the feasibility and acceptability of virtual reality to facilitate mindfulness practice in people attending a mindfulness conference.,"navarro-haro, maria v.; lopez del hoyo, yolanda; campos, daniel; linehan, marsha m.; hoffman, hunter g.; garcia-palacios, azucena; modrego-alarcon, marta; borao, luis; garcia-campayo, javier",2017,plos one,,10.1371/journal.pone.0187777
virtual wolverhampton: recreating the historic city in virtual reality,"ramsey, eleanor",2017,archnet-ijar international journal of architectural research,,10.26687/archnet-ijar.v11i3.1395
minimising operator dose during jet shutdown using virtual,"naish, jonathan; burns, alex",2017,fusion engineering and design,,10.1016/j.fusengdes.2017.03.131
display infrastructure for virtual environments,"wischgoll, thomas; glines, madison; whitlock, tyler; guthrie, bradley r.; mowrey, corinne m.; parikh, pratik j.; flach, john",2017,journal of imaging science and technology,,10.2352/J.ImagingSci.Technol.2017.61.6.060406
cognitive cost of using augmented reality displays,"baumeister, james; ssin, seung youb; elsayed, neven a. m.; dorrian, jillian; webb, david p.; walsh, james a.; simon, timothy m.; irlitti, andrew; smith, ross t.; kohler, mark; thomas, bruce h.",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2735098
"i will do laparoscopy somewhere else. total, highly immersive virtual reality without side effects?","huber, t.; paschold, m.; hansen, c.; lang, h.; kneist, w.",2017,chirurg,,10.1007/s00104-017-0465-5
new dimensions in surgical training: immersive virtual reality laparoscopic simulation exhilarates surgical staff,"huber, tobias; paschold, markus; hansen, christian; wunderling, tom; lang, hauke; kneist, werner",2017,surgical endoscopy and other interventional techniques,,10.1007/s00464-017-5500-6
motion rehab ave 3d: a vr-based exergame for post-stroke rehabilitation,"trombetta, mateus; bazzanello henrique, patricia paula; brum, manoela rogofski; colussi, eliane lucia; bertoletti de marchi, ana carolina; rieder, rafael",2017,computer methods and programs in biomedicine,,10.1016/j.cmpb.2017.08.008
perceived space in the htc vive,"kelly, jonathan w.; cherep, lucia a.; siegel, zachary d.",2017,acm transactions on applied perception,,10.1145/3106155
the effectiveness of virtual and augmented reality in health sciences and medical anatomy,"moro, christian; stromberga, zane; raikos, athanasios; stirling, allan",2017,anatomical sciences education,,10.1002/ase.1696
mixed reality in visceral surgery development of a suitable workflow and evaluation of intraoperative use-cases,"sauer, igor m.; queisner, moritz; tang, peter; moosburner, simon; hoepfner, ole; horner, rosa; lohmann, rudiger; pratschke, johann",2017,annals of surgery,,10.1097/SLA.0000000000002448
efficacy of virtual reality in pedestrian safety research,"deb, shuchisnigdha; carruth, daniel w.; sween, richard; strawderman, lesley; garrison, teena m.",2017,applied ergonomics,,10.1016/j.apergo.2017.03.007
virtual reality improves embodiment and neuropathic pain caused by spinal cord injury,"pozeg, polona; palluel, estelle; ronchi, roberta; solca, marco; al-khodairy, abdul-wahab; jordan, xavier; kassouha, ammar; blanke, olaf",2017,neurology,,10.1212/WNL.0000000000004585
tolerance analysis of focus-adjustable head-mounted displays,"choi, hojong; ryu, jae myung; kim, jin ha",2017,current optics and photonics,,10.3807/COPP.2017.1.5.474
visuo-acoustic stimulation that helps you to relax: a virtual reality setup for patients in the intensive care unit,"gerber, stephan m.; jeitziner, marie-madlen; wyss, patric; chesham, alvin; urwyler, prabitha; muri, rene m.; jakob, stephan m.; nef, tobias",2017,scientific reports,,10.1038/s41598-017-13153-1
automated design of freeform imaging systems,"yang, tong; jin, guo-fan; zhu, jun",2017,light-science & applications,,10.1038/lsa.2017.81
development of a virtual reality experience system for interior damage due to an earthquake - utilizing e-defense shake table test -,"yamashita, takuzo; pal, mahendra kumar; matsuzaki, kazutoshi; tomozawa, hiromitsu",2017,journal of disaster research,,10.20965/jdr.2017.p0882
beat the fear of public speaking: mobile 360 degrees video virtual reality exposure training in home environment reduces public speaking anxiety,"stupar-rutenfrans, snezana; ketelaars, loes e. h.; van gisbergen, marnix s.",2017,cyberpsychology behavior and social networking,,10.1089/cyber.2017.0174
immersive virtual reality as a teaching tool for neuroanatomy,"stepan, katelyn; zeiger, joshua; hanchuk, stephanie; del signore, anthony; shrivastava, raj; govindaraj, satish; iloreta, alfred",2017,international forum of allergy & rhinology,,10.1002/alr.21986
walking through architectural spaces: the impact of interior forms on human brain dynamics,"banaei, maryam; hatami, javad; yazdanfar, abbas; gramann, klaus",2017,frontiers in human neuroscience,,10.3389/fnhum.2017.00477
"the use of virtual reality facilitates dialectical behavior therapy (r) ""observing sounds and visuals"" mindfulness skills training exercises for a latino patient with severe burns: a case study","gomez, jocelyn; hoffman, hunter g.; bistricky, steven l.; gonzalez, miriam; rosenberg, laura; sampaio, mariana; garcia-palacios, azucena; navarro-haro, maria v.; alhalabi, wadee; rosenberg, marta; meyer, walter j., iii; linehan, marsha m.",2017,frontiers in psychology,,10.3389/fpsyg.2017.01611
wearable vibrotactile haptic device for stiffness discrimination during virtual interactions,"maereg, andualem tadesse; nagar, atulya; reid, david; secco, emanuele l.",2017,frontiers in robotics and ai,,10.3389/frobt.2017.00042
evaluation of visuo-spatial perspective taking skills using a digital game with different levels of immersion,"freina, laura; bottino, rosa; tavella, mauro; chiorri, carlo",2017,international journal of serious games,,10.17083/ijsg.v4i3.178
exploitation of multiplayer interaction and development of virtual puppetry storytelling using gesture control and stereoscopic devices,"liang, hui; chang, jian; deng, shujie; chen, can; tong, ruofeng; zhang, jian jun",2017,computer animation and virtual worlds,,10.1002/cav.1727
or fire virtual training simulator: design and face validity,"dorozhkin, denis; olasky, jaisa; jones, daniel b.; schwaitzberg, steven d.; jones, stephanie b.; cao, caroline g. l.; molina, marcos; henriques, steven; wang, jinling; flinn, jeff; de, suvranu",2017,surgical endoscopy and other interventional techniques,,10.1007/s00464-016-5379-7
a conformal geometric algebra code generator comparison for virtual character simulation in mixed reality,"papaefthymiou, margarita; hildenbrand, dietmar; papagiannakis, george",2017,advances in applied clifford algebras,,10.1007/s00006-016-0689-3
local and remote cooperation with virtual and robotic agents: a p300 bci study in healthy and people living with spinal cord injury,"tidoni, emmanuele; abu-alqumsan, mohammad; leonardis, daniele; kapeller, christoph; fusco, gabriele; guger, cristoph; hintermller, cristoph; peer, angelika; frisoli, antonio; tecchia, franco; bergamasco, massimo; aglioti, salvatore maria",2017,ieee transactions on neural systems and rehabilitation engineering,,10.1109/TNSRE.2016.2626391
comparison of view-based and reconstruction-based models of human navigational strategy,"gootjes-dreesbach, luise; pickup, lyndsey c.; fitzgibbon, andrew w.; glennerster, andrew",2017,journal of vision,,10.1167/17.9.11
"amplified head rotation in virtual reality and the effects on 3d search, training transfer, and spatial orientation","ragan, eric d.; scerbo, siroberto; bacim, felipe; bowman, doug a.",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2601607
extended lazynav: virtual 3d ground navigation for large displays and head-mounted displays,"punpongsanon, parinya; guy, emilie; iwai, daisuke; sato, kosuke; boubekeur, tamy",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2586071
"a method for creating interactive, user-resembling avatars","silva, igor macedo; moioli, renan c.",2017,peerj computer science,,0
low-cost 360 stereo photography and video capture,"matzen, kevin; cohen, michael f.; evans, bryce; kopf, johannes; szeliski, richard",2017,acm transactions on graphics,,10.1145/3072959.3073645
head-mounted display-based intuitive virtual reality training system for the mining industry,"hui, zhang",2017,international journal of mining science and technology,,10.1016/j.ijmst.2017.05.005
interactive soundscapes: 360 degrees-video based immersive virtual reality in a tool for the participatory acoustic environment evaluation of urban areas,"puyana-romero, virginia; solange lopez-segura, lilian; maffei, luigi; hernandez-molina, ricardo; masullo, massimiliano",2017,acta acustica united with acustica,,10.3813/AAA.919086
correlating reaction time and nausea measures with traditional measures of cybersickness,"nesbitt, keith; davis, simon; blackmore, karen; nalivaiko, eugene",2017,displays,,10.1016/j.displa.2017.01.002
holographic near-eye displays for virtual and augmented reality,"maimone, andrew; georgiou, andreas; kollin, joel s.",2017,acm transactions on graphics,,10.1145/3072959.3073624
amblyopia treatment of adults with dichoptic training using the virtual reality oculus rift head mounted display: preliminary results,"ziak, peter; holm, anders; halicka, juraj; mojzis, peter; pinero, david p.",2017,bmc ophthalmology,,10.1186/s12886-017-0501-8
triggering and measuring social inhibitory response in humans immersed in interactions with virtual humans,"ahamba, godson; roberts, david; eachus, peter",2017,annual review of cybertherapy and telemedicine,,0
exploring the impact of hand movement delays and hand appearance on myoelectric prosthesis embodiment using immersive virtual reality,"hodrien, andrew; galpin, adam; roberts, david; kenney, laurence",2017,annual review of cybertherapy and telemedicine,,0
controlling vr games: control schemes and the player experience,"martel, erin; muldner, kasia",2017,entertainment computing,,10.1016/j.entcom.2017.04.004
diegetic user interfaces for virtual environments with hmds: a user experience study with oculus rift,"salomoni, paola; prandi, catia; roccetti, marco; casanova, lorenzo; marchetti, luca; marfia, gustavo",2017,journal on multimodal user interfaces,,10.1007/s12193-016-0236-5
"behavioral, craving, and anxiety responses among light and heavy drinking college students in alcohol-related virtual environments","ghita, alexandra; ferrer-garcia, marta; gutierrez-maldonado, jos",2017,annual review of cybertherapy and telemedicine,,0
"does owning a ""fatter"" virtual body increase body anxiety in college students?","ferrer-garcia, marta; porras-garcia, bruno; gonzalez-ibanez, cristina; gracia-blanes, mireia; vilalta-abella, ferran; pla-sanjuanelo, joana; riva, giuseppe; dakanalis, antonios; achotegui-loizate, jose; talarn-caparros, antoni; ribas-sabate, joan; andreu-gracia, alexis; diaz-marsa, marina; monras-arnau, miquel; serrano-troncoso, eduardo; treasure, janet; gutierrez-maldonado, jose",2017,annual review of cybertherapy and telemedicine,,0
control of vertical posture while elevating one foot to avoid a real or virtual obstacle,"ida, hirofumi; mohapatra, sambit; aruin, alexander",2017,experimental brain research,,10.1007/s00221-017-4929-0
the accuracy and precision of position and orientation tracking in the htc vive virtual reality system for scientific research,"niehorster, diederick c.; li, li; lappe, markus",2017,i-perception,,10.1177/2041669517708205
photosensor-based latency measurement system for head-mounted displays,"seo, min-woo; choi, song-woo; lee, sang-lyn; oh, eui-yeol; baek, jong-sang; kang, suk-ju",2017,sensors,,10.3390/s17051112
extrafoveal video extension for an immersive viewing experience,"turban, laura; urban, fabrice; guillotel, philippe",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2527649
effects of using a force feedback haptic augmented simulation on the attitudes of the gifted students towards studying chemical bonds in virtual reality environment,"ucar, erdem; ustunel, hakan; civelek, turhan; umut, ilhan",2017,behaviour & information technology,,10.1080/0144929X.2016.1264483
contextual modulation of pain sensitivity utilising virtual environments,"smith, ashley; carlow, klancy; biddulph, tara; murray, brooke; paton, melissa; harvie, daniel s.",2017,british journal of pain,,10.1177/2049463717698349
visual appearance of a virtual upper limb modulates the temperature of the real hand: a thermal imaging study in immersive virtual reality,"tieri, gaetano; gioia, annamaria; scandola, michele; pavone, enea f.; aglioti, salvatore m.",2017,european journal of neuroscience,,10.1111/ejn.13545
mortality salience in virtual reality experiences and its effects on users' attitudes towards risk,"chittaro, luca; sioni, riccardo; crescentini, cristiano; fabbro, franco",2017,international journal of human-computer studies,,10.1016/j.ijhcs.2017.01.002
enabling focus cues in head-mounted displays,"hua, hong",2017,proceedings of the ieee,,10.1109/JPROC.2017.2648796
visuomotor adaptation in head-mounted virtual reality versus conventional training,"anglin, j. m.; sugiyama, t.; liew, s. -l.",2017,scientific reports,,10.1038/srep45469
consumer neuroscience: the traditional and vr tv commercial,"leanza, federica",2017,neuropsychological trends,,10.7358/neur-2017-021-lean
the problem of persistence with rotating displays,"regan, matthew; miller, gavin s. p.",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2656979
designing a vibrotactile head-mounted display for spatial awareness in 3d spaces,"de jesus oliveira, victor adriel; brayda, luca; nedel, luciana; maciel, anderson",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2657238
scaled jump in gravity-reduced virtual environments,"kim, myounggon; cho, sungik; tanh quang tran; kim, seong-pil; kwon, ohung; han, junghyun",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2657139
earthquake safety training through virtual drills,"li, changyang; liang, wei; quigley, chris; zhao, yibiao; yu, lap-fai",2017,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2656958
htc vive mevislab integration via openvr for medical applications,"egger, jan; gall, markus; wallner, juergen; boechat, pedro; hann, alexander; li, xing; chen, xiaojun; schmalstieg, dieter",2017,plos one,,10.1371/journal.pone.0173972
stereoscopic first person view system for drone navigation,"smolyanskiy, nikolai; gonzalez-franco, mar",2017,frontiers in robotics and ai,,10.3389/frobt.2017.00011
interactive sound experience interface based on virtual concert hall,"cho, hye-seung; kim, hyoung-gook",2017,journal of the acoustical society of korea,,10.7776/ASK.2017.36.2.130
a virtual reality keyboard with realistic haptic feedback in a fully immersive virtual environment,"wu, chien-min; hsu, chih-wen; lee, tzu-kuei; smith, shana",2017,virtual reality,,10.1007/s10055-016-0296-6
the virtual reality head-mounted display oculus rift induces motion sickness and is sexist in its effects,"munafo, justin; diedrick, meg; stoffregen, thomas a.",2017,experimental brain research,,10.1007/s00221-016-4846-7
profiling subjective symptoms and autonomic changes associated with cybersickness,"gavgani, alireza mazloumi; nesbitt, keith v.; blackmore, karen l.; nalivaiko, eugene",2017,autonomic neuroscience-basic & clinical,,10.1016/j.autneu.2016.12.004
manipulating bodily presence affects cross-modal spatial attention: a virtual-reality-based erp study,"harjunen, ville j.; ahmed, imtiaj; jacucci, giulio; ravaja, niklas; spape, michiel m.",2017,frontiers in human neuroscience,,10.3389/fnhum.2017.00079
walking in fully immersive virtual environments: an evaluation of potential adverse effects in older adults and individuals with parkinson's disease,"kim, aram; darakjian, nora; finley, james m.",2017,journal of neuroengineering and rehabilitation,,10.1186/s12984-017-0225-2
immersive mixed reality for manufacturing training,"gonzalez-franco, mar; pizarro, rodrigo; cermeron, julio; li, katie; thorn, jacob; hutabarat, windo; tiwari, ashutosh; bermell-garcia, pablo",2017,frontiers in robotics and ai,,10.3389/frobt.2017.00003
design and development of an immersive virtual environment for teaching of the superposition of movements principle for engineering students,"castro-gonzalez, david; hernando barbosa, luis; prada-jimenez, vladimir; conde-mendez, gregory",2017,revista educacion en ingenieria,,10.15675/gepros.v12i1.1605
human-in-the-loop active electrosense,"fang, sandra; peshkin, michael; maciver, malcolm a.",2017,bioinspiration & biomimetics,,10.1088/1748-3190/12/1/014001
metaphoric hand gestures for orientation-aware vr object manipulation with an egocentric viewpoint,"jang, youngkyoon; jeon, ikbeom; kim, tae-kyun; woo, woontack",2017,ieee transactions on human-machine systems,,10.1109/THMS.2016.2611824
a content service deployment plan for metaverse museum exhibitions-centering on the combination of beacons and hmds,"choi, hee-soo; kim, sang-heon",2017,international journal of information management,,10.1016/j.ijinfomgt.2016.04.017
influence of changing frequency and various sceneries on stabilometric parameters and on the effect of adaptation in an immersive 3d virtual environment,"jurkojc, jacek; wodarski, piotr; bieniek, andrzej; gzik, marek; michnik, robert",2017,acta of bioengineering and biomechanics,,10.5277/ABB-00784-2016-02
development of vr platform for cloud-based neurorehabilitation and its application to research on sense of agency and ownership,"inamura, tetsunari; unenaka, satoshi; shibuya, satoshi; ohki, yukari; oouchida, yutaka; izumi, shin-ichi",2017,advanced robotics,,10.1080/01691864.2016.1264885
cybersickness without the wobble: experimental results speak against postural instability theory,"dennison, mark stephen; d'zmura, michael",2017,applied ergonomics,,10.1016/j.apergo.2016.06.014
virtualisation devices for student learning: comparison between desktop-based (oculus rift) and mobile-based (gear vr) virtual reality in medical and health science education,"moro, christian; stromberga, zane; stirling, allan",2017,australasian journal of educational technology,,10.14742/ajet.3840
vection and cybersickness generated by head-and-display motion in the oculus rift,"palmisano, stephen; mursic, rebecca; kim, juno",2017,displays,,10.1016/j.displa.2016.11.001
virtual figure model crafting with vr hmd and leap motion,"park, gangrae; choi, hyunmin; lee, uichin; chin, seongah",2017,imaging science journal,,10.1080/13682199.2017.1355090
experiencing technology enabled empathy mapping,"neubauer, daniel; paepcke-hjeltness, verena; evans, pete; barnhart, betsy; finseth, tor",2017,design journal,,10.1080/14606925.2017.1352966
validation of an immersive virtual reality system for training near and far space neglect in individuals with stroke: a pilot study,"yasuda, kazuhiro; muroi, daisuke; ohira, masahiro; iwata, hiroyasu",2017,topics in stroke rehabilitation,,10.1080/10749357.2017.1351069
a quality-centered analysis of eye tracking data in foveated rendering,"roth, thorsten; weier, martin; hinkenjann, andre; li, yongmin; slusallek, philipp",2017,journal of eye movement research,,10.16910/jemr.10.5.2
the application of virtual reality technology to testing resistance to motion sickness,"menshikova, galina ya.; kovalev, artem i.; klimova, oxana a.; barabanschikova, valentina v.",2017,psychology in russia-state of the art,,10.11621/pir.2017.0310
assessing balance through the use of a low-cost head-mounted display in older adults: a pilot study,"saldana, santiago j.; marsh, anthony p.; rejeski, w. jack; haberl, jack k.; wu, peggy; rosenthal, scott; ip, edward h.",2017,clinical interventions in aging,,10.2147/CIA.S141251
immersive virtual reality course at the digital production studies,"sidanin, predrag; lazic, marko; obradovic, ratko",2017,fme transactions,,10.5937/fmet1702205S
design of immersive virtual reality system to improve communication skills in individuals with autism,"halabi, osama; el-seoud, samir a.; alja'am, jihad m.; alpona, hena; al-hemadi, moza; al-hassan, dabia",2017,international journal of emerging technologies in learning,,10.3991/ijet.v12i05.6766
training wheelchair navigation in immersive virtual environments for patients with spinal cord injury - end-user input to design an effective system,"nunnerley, joanne; gupta, swati; snell, deborah; king, marcus",2017,disability and rehabilitation-assistive technology,,10.1080/17483107.2016.1176259
access to complex reality-based 3d models using virtual reality solutions,"jimenez fernandez-palacios, belen; morabito, daniele; remondino, fabio",2017,journal of cultural heritage,,10.1016/j.culher.2016.09.003
