Title,Rank,Impact_Factor,5_Yr_IF,Half_Life,Percentage_Citable,Avg_IF_Percentile
marine and coastal fisheries,6812,1.736,1.857,7.0,100.0,62.5
journal of reproduction and development,6815,1.735,1.69,8.1,100.0,46.388
instructional science,6816,1.734,2.594,9.8,100.0,54.292
telecommunication systems,6816,1.734,1.411,4.2,90.24,32.778
fisheries management and ecology,6818,1.733,1.94,9.4,98.44,59.434
international journal of speech-language pathology,6818,1.733,1.784,6.2,93.65,66.22
international journal of speech-language pathology,6818,1.733,1.784,6.2,93.65,66.22
journal of communications and networks,6818,1.733,1.623,5.1,97.87,31.058
journal of consumer affairs,6818,1.733,2.478,12.0,100.0,44.791
psychiatry-interpersonal and biological processes,6818,1.733,2.4,12.4,100.0,35.486
psychiatry-interpersonal and biological processes,6818,1.733,2.4,12.4,100.0,35.486
journal of special education,6825,1.732,2.538,13.7,90.48,77.381
international journal of agricultural and biological engineering,6826,1.731,1.659,3.6,98.79,57.692
journal of cluster science,6826,1.731,1.5,3.9,97.56,47.778
combustion science and technology,6828,1.73,1.664,17.1,100.0,37.999
folia microbiologica,6828,1.73,1.639,9.4,90.22,20.502
international journal of speleology,6828,1.73,1.874,7.9,95.24,37.75
journal of physiological anthropology,6828,1.73,2.028,6.9,82.35,27.778
science and public policy,6828,1.73,2.114,7.9,98.68,32.69
discourse-studies in the cultural politics of education,6833,1.729,1.931,6.5,98.21,55.703
biomedical chromatography,6834,1.728,1.627,6.2,97.59,23.235
journal of hydroinformatics,6834,1.728,1.769,6.4,98.61,37.544
oncology nursing forum,6834,1.728,2.608,9.3,88.73,50.62
oncology nursing forum,6834,1.728,2.608,9.3,88.73,50.62
physiological entomology,6834,1.728,1.532,15.7,96.55,69.802
polar biology,6834,1.728,2.0,9.5,97.92,45.089
acm journal on computing and cultural heritage,6840,1.727,1.491,4.4,100.0,34.404
asterisque,6840,1.727,1.459,23.3,100.0,90.895
arhiv za higijenu rada i toksikologiju-archives of industrial hygiene and toxicology,6840,1.727,1.777,6.8,76.32,26.119
imf economic review,6840,1.727,2.62,6.4,100.0,57.492
journal of legal analysis,6840,1.727,2.098,8.3,100.0,77.597
mental health and physical activity,6840,1.727,2.193,5.6,81.48,42.199
written communication,6840,1.727,2.167,11.6,100.0,55.978
canadian association of radiologists journal-journal de l association canadienne des radiologistes,6847,1.726,1.42,5.6,89.66,30.451
journal of interprofessional care,6847,1.726,2.132,6.5,93.52,35.674
journal of interprofessional care,6847,1.726,2.132,6.5,93.52,35.674
micron,6847,1.726,1.891,8.8,98.4,55.0
japanese journal of ophthalmology,6851,1.725,1.72,9.9,93.44,40.833
journal of documentation,6851,1.725,1.615,12.6,94.94,54.598
journal of sea research,6851,1.725,2.115,8.4,100.0,55.232
journal of vascular research,6851,1.725,2.017,9.2,96.43,22.887
plant direct,6851,1.725,1.725,1.5,100.0,55.342
bioremediation journal,6856,1.724,1.302,9.4,100.0,31.132
herd-health environments research & design journal,6856,1.724,2.123,6.0,82.98,52.647
journal of environmental science and health part a-toxic/hazardous substances & environmental engineering,6856,1.724,1.708,9.8,100.0,26.415
journal of zoology,6856,1.724,1.922,18.6,96.55,72.917
development growth & differentiation,6860,1.723,1.79,10.3,67.5,18.637
human dimensions of wildlife,6860,1.723,,10.3,90.7,39.341
psychiatrische praxis,6860,1.723,1.25,6.4,98.28,41.489
journal of infection and chemotherapy,6863,1.722,1.717,5.6,93.2,18.408
journal of primary prevention,6863,1.722,2.006,9.8,91.89,52.059
acm transactions on computing education,6865,1.721,1.868,5.6,95.12,54.878
behavioral medicine,6865,1.721,2.212,9.2,85.29,29.464
behavioral medicine,6865,1.721,2.212,9.2,85.29,29.464
cross-cultural research,6865,1.721,1.5,11.9,100.0,65.278
journal of early childhood literacy,6865,1.721,,7.1,100.0,55.323
neoplasma,6865,1.721,1.879,5.6,94.12,10.451
aphasiology,6871,1.72,2.011,10.4,88.89,56.405
aphasiology,6871,1.72,2.011,10.4,88.89,56.405
cellular and molecular bioengineering,6871,1.72,2.416,5.3,97.62,18.403
ethnic and racial studies,6871,1.72,2.073,8.8,99.31,61.75
games for health journal,6871,1.72,1.985,4.3,93.75,62.003
journal of causal inference,6871,1.72,,4.0,100.0,59.42
journal of causal inference,6871,1.72,,4.0,100.0,59.42
proceedings of the geologists association,6871,1.72,1.516,9.7,92.86,63.81
baltic journal of management,6879,1.719,1.754,5.6,86.84,26.77
journal of industrial relations,6879,1.719,1.475,6.4,93.75,48.333
journal of marketing management,6879,1.719,,7.0,91.84,26.378
tree-ring research,6879,1.719,1.471,11.5,100.0,59.559
international forestry review,6883,1.718,1.767,8.3,97.22,58.088
journal of economic psychology,6883,1.718,2.451,10.8,100.0,61.815
orthopaedic surgery,6883,1.718,1.666,4.5,87.18,42.073
quality and reliability engineering international,6883,1.718,1.909,5.5,98.82,42.051
reproduction fertility and development,6883,1.718,1.923,7.5,92.7,36.19
separation science and technology,6883,1.718,1.49,9.2,96.35,37.76
cambridge journal of economics,6889,1.717,2.191,10.6,98.57,62.129
international journal of polymer analysis and characterization,6890,1.716,2.145,4.8,100.0,44.382
international journal of computational methods,6890,1.716,1.454,5.1,100.0,51.418
marine georesources & geotechnology,6890,1.716,1.583,3.3,98.26,42.391
molecular simulation,6890,1.716,1.737,6.9,99.33,28.276
journal of behavioral decision making,6894,1.715,2.267,12.8,100.0,39.881
siam journal on control and optimization,6894,1.715,1.974,13.5,100.0,59.205
behavioral neuroscience,6896,1.714,2.543,15.3,100.0,17.345
canadian journal of neurological sciences,6896,1.714,1.851,9.9,83.95,23.775
convergence-the international journal of research into new media technologies,6896,1.714,1.746,6.9,98.48,54.891
earthquakes and structures,6896,1.714,1.624,3.8,100.0,35.127
international journal of computerized dentistry,6896,1.714,1.974,6.2,93.55,47.802
journal of grey system,6896,1.714,1.274,6.6,97.5,55.189
clinical simulation in nursing,6902,1.713,2.22,4.7,90.79,69.68
clinical simulation in nursing,6902,1.713,2.22,4.7,90.79,69.68
international journal of human-computer interaction,6902,1.713,2.15,7.3,96.53,41.903
international journal of human-computer interaction,6902,1.713,2.15,7.3,96.53,41.903
international journal of minerals metallurgy and materials,6902,1.713,1.638,5.0,97.02,44.835
journal of child neurology,6902,1.713,1.765,9.6,84.48,35.666
sociological forum,6902,1.713,1.869,11.6,100.0,60.333
veterinary immunology and immunopathology,6902,1.713,1.89,10.9,98.98,45.253
analysis & pde,6910,1.712,1.883,4.8,100.0,83.274
otology & neurotology,6910,1.712,2.243,7.3,92.84,36.992
psychology of music,6910,1.712,1.745,8.5,98.31,42.293
american journal of mathematics,6913,1.711,1.751,45.2,100.0,90.278
arabian journal for science and engineering,6913,1.711,1.474,3.5,97.79,45.775
biometrics,6913,1.711,1.959,28.9,100.0,52.472
linguistics and philosophy,6913,1.711,1.759,17.8,94.74,81.016
aquatic botany,6917,1.71,1.9,14.4,100.0,58.353
breastfeeding medicine,6917,1.71,2.509,4.9,93.2,39.182
culture & psychology,6917,1.71,2.138,8.6,100.0,60.507
journal of american college health,6917,1.71,2.19,9.7,95.92,52.913
journal of paediatrics and child health,6917,1.71,1.718,8.1,85.08,47.266
mediterranean marine science,6922,1.709,2.055,5.9,95.31,60.849
journal of higher education,6923,1.708,2.895,14.1,100.0,54.563
journal of consumer behaviour,6923,1.708,2.607,8.7,100.0,25.329
kyklos,6923,1.708,1.816,14.6,100.0,61.86
language testing,6923,1.708,2.008,11.7,92.31,80.481
medicine health care and philosophy,6923,1.708,1.581,6.4,92.86,79.006
toxicology and industrial health,6923,1.708,1.652,6.9,94.12,25.317
developmental neurorehabilitation,6929,1.707,1.668,6.4,100.0,40.071
iranian polymer journal,6929,1.707,1.84,6.4,96.84,43.258
journal of microbiological methods,6929,1.707,1.883,11.2,93.52,20.438
physics and chemistry of liquids,6929,1.707,1.255,8.3,100.0,30.175
tumori j,6929,1.707,1.271,8.3,91.43,10.041
annales scientifiques de l ecole normale superieure,6934,1.706,2.163,26.3,100.0,89.969
corrosion engineering science and technology,6934,1.706,1.435,6.1,97.06,43.841
gold bulletin,6934,1.706,1.836,12.2,95.24,32.864
journal of fashion marketing and management,6934,1.706,,8.5,100.0,25.278
psychology health & medicine,6934,1.706,1.904,6.4,96.69,43.411
psychology health & medicine,6934,1.706,1.904,6.4,96.69,43.411
journal of korean medical science,6940,1.705,1.892,6.6,96.55,50.606
language and education,6940,1.705,2.039,8.5,100.0,67.065
science as culture,6940,1.705,1.395,8.8,100.0,86.146
scandinavian actuarial journal,6940,1.705,1.642,7.7,100.0,61.807
scandinavian actuarial journal,6940,1.705,1.642,7.7,100.0,61.807
aquaculture environment interactions,6945,1.704,2.553,4.7,92.31,58.726
clinical physiology and functional imaging,6945,1.704,2.026,8.2,86.79,25.309
homeopathy,6945,1.704,1.365,4.9,85.19,37.5
journal of south american earth sciences,6945,1.704,2.039,8.6,96.79,37.25
european journal of pediatric surgery,6949,1.703,1.527,7.9,80.25,43.77
journal of food process engineering,6949,1.703,1.773,4.4,98.1,39.719
journal of physics b-atomic molecular and optical physics,6949,1.703,1.633,12.2,98.99,31.457
maritime economics & logistics,6949,1.703,1.964,8.4,100.0,31.081
cellular reprogramming,6953,1.702,1.587,5.7,91.18,16.886
distance education,6953,1.702,2.5,7.3,93.75,53.802
experimental lung research,6953,1.702,1.716,8.7,100.0,19.531
journal of dispersion science and technology,6956,1.701,1.593,6.4,100.0,23.585
journal of low frequency noise vibration and active control,6956,1.701,1.611,2.4,99.29,57.813
cytoskeleton,6958,1.7,2.199,6.4,81.13,13.077
journal of applied biomedicine,6958,1.7,1.922,5.3,75.0,18.704
livestock science,6958,1.7,1.905,7.6,96.5,72.222
navigation-journal of the institute of navigation,6958,1.7,1.828,6.4,96.36,40.633
european security,6962,1.698,,6.0,100.0,71.078
urologia internationalis,6962,1.698,1.441,7.7,88.51,28.824
archives of control sciences,6964,1.697,1.269,3.3,100.0,58.027
journal of environmental science and health part b-pesticides food contaminants and agricultural wastes,6964,1.697,1.6,8.0,96.36,33.005
veterinary dermatology,6964,1.697,1.813,8.0,100.0,55.898
computational particle mechanics,6967,1.696,2.54,3.7,98.08,45.952
entomologia experimentalis et applicata,6967,1.696,1.731,14.3,89.13,68.812
plant production science,6967,1.696,1.633,10.4,94.12,66.484
bmc anesthesiology,6970,1.695,1.922,4.0,93.33,23.438
journal of buon,6970,1.695,1.453,3.4,91.01,9.631
nuclear physics a,6970,1.695,1.426,19.1,99.74,50.0
viral immunology,6970,1.695,1.528,7.9,87.5,14.869
journal of school nursing,6974,1.694,1.707,6.3,87.8,68.86
journal of school nursing,6974,1.694,1.707,6.3,87.8,68.86
memory & cognition,6974,1.694,2.502,15.0,100.0,36.207
mendeleev communications,6974,1.694,1.37,4.7,100.0,34.746
neuropsychobiology,6974,1.694,2.114,14.0,88.89,25.314
forest science,6979,1.693,1.807,17.2,100.0,56.618
heat transfer engineering,6979,1.693,1.707,8.8,99.16,38.123
fusion engineering and design,6981,1.692,1.495,5.2,99.67,80.882
green materials,6981,1.692,1.796,3.8,100.0,29.537
iet signal processing,6981,1.692,1.613,4.0,98.9,38.91
international transactions on electrical energy systems,6981,1.692,1.596,3.1,97.49,38.91
journal of pharmaceutical innovation,6981,1.692,2.209,4.9,90.63,18.333
physical medicine and rehabilitation clinics of north america,6981,1.692,2.479,7.7,97.73,50.735
archives of animal nutrition,6987,1.691,1.96,10.4,100.0,70.635
journal of fluency disorders,6987,1.691,2.275,9.6,100.0,63.938
journal of fluency disorders,6987,1.691,2.275,9.6,100.0,63.938
brain injury,6990,1.69,2.205,9.1,89.57,43.929
brain injury,6990,1.69,2.205,9.1,89.57,43.929
experimental parasitology,6990,1.69,1.759,9.5,98.52,47.436
geographical analysis,6990,1.69,2.745,23.5,100.0,44.643
journal of contemporary accounting & economics,6990,1.69,,5.3,100.0,56.49
qualitative research in psychology,6990,1.69,3.282,13.5,96.77,59.783
soil use and management,6990,1.69,2.252,10.5,100.0,35.526
ieee embedded systems letters,6997,1.689,,4.3,100.0,48.773
journal of forestry research,6997,1.689,1.475,4.9,96.05,55.147
pramana-journal of physics,6999,1.688,1.156,6.5,100.0,48.824
psychiatry investigation,6999,1.688,1.764,4.5,84.87,33.1
psychiatry investigation,6999,1.688,1.764,4.5,84.87,33.1
research in autism spectrum disorders,6999,1.688,2.327,7.2,89.11,56.424
canadian journal of chemical engineering,7003,1.687,1.544,11.3,96.36,38.811
journal of the acm,7004,1.686,2.526,23.7,100.0,46.297
soil research,7004,1.686,2.102,4.9,96.25,32.895
journal of animal science and technology,7006,1.685,,4.4,95.45,71.32
journal of investigative surgery,7006,1.685,1.487,6.2,91.76,42.143
meteorological applications,7006,1.685,1.857,8.6,100.0,28.495
neuroimmunomodulation,7006,1.685,2.216,9.8,96.3,14.164
social policy and society,7006,1.685,,6.9,95.24,67.045
turkish journal of hematology,7006,1.685,1.127,4.9,92.5,23.026
acta veterinaria scandinavica,7012,1.683,1.695,8.7,95.08,72.887
agronomy journal,7012,1.683,2.095,15.1,97.27,65.385
applied research in quality of life,7012,1.683,1.784,5.0,100.0,64.352
human ecology,7012,1.683,1.934,10.7,97.22,52.242
iforest-biogeosciences and forestry,7012,1.683,1.588,3.9,94.29,53.676
acta palaeontologica polonica,7017,1.682,1.668,11.3,100.0,60.909
financial analysts journal,7017,1.682,1.798,19.1,96.3,50.463
infant behavior & development,7017,1.682,2.01,10.9,95.56,44.805
actas espanolas de psiquiatria,7020,1.681,1.543,8.4,73.91,20.214
annals of palliative medicine,7020,1.681,,3.2,62.5,31.863
circuits systems and signal processing,7020,1.681,1.67,4.0,99.66,38.158
ethnos,7020,1.681,1.559,9.6,100.0,72.778
journal of evaluation in clinical practice,7020,1.681,1.619,7.7,92.14,34.078
seed science research,7020,1.681,2.07,14.3,90.0,54.487
zoology,7020,1.681,1.839,9.4,88.89,71.726
cellular polymers,7027,1.68,1.471,9.7,100.0,29.058
chemical papers,7027,1.68,1.529,5.1,98.01,34.181
frontiers of structural and civil engineering,7027,1.68,,4.2,93.52,45.149
theoretical biology and medical modelling,7027,1.68,1.845,7.7,95.0,43.22
american journal of managed care,7031,1.679,1.811,7.7,95.97,38.884
american journal of managed care,7031,1.679,1.811,7.7,95.97,38.884
annual review of applied linguistics,7031,1.679,4.032,10.0,76.92,78.877
hong kong medical journal,7031,1.679,1.68,7.4,75.93,49.394
journal of applied clinical medical physics,7031,1.679,1.627,4.6,100.0,29.699
journal of youth studies,7031,1.679,2.131,6.7,100.0,63.426
geriatric nursing,7037,1.678,1.997,5.9,91.14,51.606
geriatric nursing,7037,1.678,1.997,5.9,91.14,51.606
international journal of analytical chemistry,7037,1.678,1.823,4.0,100.0,31.977
current problems in pediatric and adolescent health care,7040,1.677,2.432,5.7,96.43,44.141
financial management,7040,1.677,2.43,14.6,100.0,49.537
internal medicine journal,7040,1.677,1.886,6.0,91.98,48.182
journal of financial markets,7040,1.677,1.994,12.9,100.0,49.537
annals of applied statistics,7044,1.675,2.262,8.1,99.0,70.565
e-polymers,7044,1.675,1.481,7.0,96.92,39.888
interactive cardiovascular and thoracic surgery,7044,1.675,1.698,6.3,96.88,29.661
journal of cardiovascular nursing,7044,1.675,2.054,6.6,92.86,54.597
journal of cardiovascular nursing,7044,1.675,2.054,6.6,92.86,54.597
theoretical and computational fluid dynamics,7044,1.675,1.719,12.7,100.0,39.89
biological agriculture & horticulture,7050,1.674,1.793,8.6,100.0,68.948
journal of development effectiveness,7050,1.674,1.475,7.1,80.0,50.0
international journal of cosmetic science,7052,1.673,2.042,8.6,88.06,36.029
journal of school health,7052,1.673,2.242,9.0,98.15,43.996
journal of school health,7052,1.673,2.242,9.0,98.15,43.996
computer supported cooperative work-the journal of collaborative computing and work practices,7055,1.672,2.342,9.2,96.3,33.486
green processing and synthesis,7055,1.672,1.295,2.8,98.99,29.194
international journal of experimental pathology,7055,1.672,1.796,10.5,85.71,33.974
international public management journal,7055,1.672,2.865,8.4,95.65,44.792
marine genomics,7055,1.672,1.883,4.3,100.0,23.446
nonprofit management & leadership,7055,1.672,1.842,11.4,100.0,35.117
european journal of criminology,7061,1.671,2.037,7.4,100.0,67.391
fire technology,7061,1.671,1.945,5.9,92.0,36.735
international journal of general systems,7061,1.671,1.652,13.2,100.0,59.722
journal of mass spectrometry,7061,1.671,1.939,10.1,100.0,32.097
plant signaling & behavior,7061,1.671,,7.8,89.47,35.027
journal of advanced transportation,7066,1.67,1.752,3.4,96.48,39.563
advances in applied ceramics,7067,1.669,1.503,6.3,95.0,58.929
cardiology journal,7067,1.669,1.47,5.3,96.1,27.899
wildlife research,7067,1.669,1.833,11.5,95.59,55.357
european physical journal-special topics,7070,1.668,1.876,5.8,90.78,47.647
pediatric surgery international,7070,1.668,1.607,8.4,93.12,42.275
botanical review,7072,1.667,2.697,24.5,75.0,53.632
body & society,7072,1.667,2.571,10.7,100.0,59.0
carbon management,7072,1.667,2.235,6.0,97.5,25.99
carbon management,7072,1.667,2.235,6.0,97.5,25.99
fashion and textiles,7072,1.667,,3.3,93.75,72.917
fire ecology,7072,1.667,2.228,7.7,95.12,45.597
focus on autism and other developmental disabilities,7072,1.667,2.342,7.5,87.5,59.746
geographical review,7072,1.667,1.53,30.4,96.77,43.452
herpetological monographs,7072,1.667,1.964,16.8,,70.536
insect systematics & evolution,7072,1.667,1.397,10.9,94.44,45.411
journal of pharmacy and pharmaceutical sciences,7072,1.667,2.417,10.1,91.11,17.963
legal and criminological psychology,7072,1.667,1.607,9.9,100.0,67.316
natural hazards review,7072,1.667,1.699,11.3,100.0,33.164
natural hazards review,7072,1.667,1.699,11.3,100.0,33.164
psychology public policy and law,7072,1.667,2.56,9.2,95.83,57.404
regional science and urban economics,7072,1.667,2.533,9.8,98.61,40.988
clinical transplantation,7088,1.665,1.872,6.9,92.86,38.065
european journal of mineralogy,7088,1.665,1.606,14.2,96.55,55.0
in vitro cellular & developmental biology-animal,7088,1.665,1.588,8.5,100.0,15.428
surface and interface analysis,7088,1.665,1.43,13.8,99.33,22.956
asian-australasian journal of animal sciences,7092,1.664,1.907,7.8,93.49,67.46
iet communications,7092,1.664,1.408,3.8,98.36,37.782
international health,7092,1.664,1.906,4.6,90.41,42.046
international health,7092,1.664,1.906,4.6,90.41,42.046
journal of human kinetics,7092,1.664,1.886,5.2,97.58,35.882
biopharmaceutics & drug disposition,7097,1.663,1.822,9.5,100.0,17.593
congenital heart disease,7097,1.663,1.829,4.8,95.51,27.174
international journal of industrial ergonomics,7099,1.662,1.888,10.7,97.67,33.333
international journal of industrial ergonomics,7099,1.662,1.888,10.7,97.67,33.333
journal of food biochemistry,7099,1.662,1.705,6.0,92.28,27.433
physician and sportsmedicine,7099,1.662,1.971,7.2,68.66,36.59
plant breeding,7099,1.662,1.626,10.9,86.67,45.742
reproductive health matters,7099,1.662,2.076,9.5,,48.529
cornell law review,7105,1.661,1.877,12.1,100.0,75.649
journal of chemotherapy,7105,1.661,1.417,9.9,82.22,14.37
journal of computational and nonlinear dynamics,7105,1.661,1.882,4.5,100.0,37.622
journal of innovative optical health sciences,7105,1.661,1.277,4.0,82.46,31.226
journal of racial and ethnic health disparities,7105,1.661,1.677,2.6,93.13,47.941
animal reproduction science,7110,1.66,2.002,9.9,97.11,38.971
journal of musculoskeletal & neuronal interactions,7110,1.66,1.846,9.8,86.15,19.325
journal of analytical science and technology,7110,1.66,,3.8,100.0,29.651
molecular & cellular toxicology,7110,1.66,1.264,4.1,90.0,12.5
real-time systems,7110,1.66,1.963,12.0,95.45,58.796
survey review,7110,1.66,1.518,5.4,100.0,35.831
turkish journal of agriculture and forestry,7110,1.66,1.535,8.2,100.0,62.088
journal of the american oil chemists society,7117,1.659,1.869,18.0,97.48,44.245
numerical mathematics-theory methods and applications,7117,1.659,1.343,4.3,100.0,82.426
psychopathology,7117,1.659,1.915,10.6,86.11,31.746
psychopathology,7117,1.659,1.915,10.6,86.11,31.746
bmc molecular biology,7121,1.658,2.315,10.8,100.0,15.32
behavioural and cognitive psychotherapy,7122,1.657,2.034,9.2,96.36,42.366
bulletin of environmental contamination and toxicology,7122,1.657,1.707,9.8,92.45,20.329
journal of the american academy of audiology,7122,1.657,1.827,10.4,98.68,45.701
physics and chemistry of minerals,7122,1.657,1.765,17.4,100.0,39.607
canadian journal of emergency medicine,7126,1.656,1.582,6.3,92.31,50.0
european zoological journal,7126,1.656,1.656,2.2,95.24,69.94
spatial statistics,7126,1.656,1.822,4.3,97.73,45.717
european heart journal supplements,7129,1.655,1.225,5.1,100.0,26.449
genes to cells,7129,1.655,1.879,11.6,96.55,17.466
island arc,7129,1.655,1.677,12.5,97.5,35.25
international agrophysics,7129,1.655,1.776,6.8,98.33,60.989
physiological research,7129,1.655,1.82,7.9,85.92,22.84
policing & society,7129,1.655,1.895,5.9,100.0,64.493
enfermedades infecciosas y microbiologia clinica,7135,1.654,1.422,6.1,91.67,16.499
economics of transportation,7135,1.654,,4.9,100.0,44.715
food science and technology international,7135,1.654,1.729,10.4,100.0,43.181
information economics and policy,7135,1.654,1.626,9.2,100.0,61.051
journal of surfactants and detergents,7135,1.654,1.688,6.3,99.24,36.11
metabolic syndrome and related disorders,7135,1.654,2.009,6.1,96.61,22.101
neurorehabilitation,7135,1.654,1.802,6.8,85.59,44.074
neurorehabilitation,7135,1.654,1.802,6.8,85.59,44.074
bryologist,7143,1.653,1.522,16.6,97.56,52.778
cyta-journal of food,7143,1.653,1.86,4.1,100.0,37.05
journal of occupational and environmental hygiene,7143,1.653,1.699,6.5,98.57,31.662
journal of paleontology,7143,1.653,1.601,24.4,100.0,59.091
acm journal on emerging technologies in computing systems,7147,1.652,1.542,4.8,100.0,32.32
international journal of satellite communications and networking,7147,1.652,1.424,5.5,100.0,42.948
isotopes in environmental and health studies,7147,1.652,1.676,7.7,97.44,35.912
journal of materials engineering and performance,7147,1.652,1.883,5.3,98.12,27.229
journal of the american psychiatric nurses association,7147,1.652,1.732,6.5,81.58,48.735
journal of the american psychiatric nurses association,7147,1.652,1.732,6.5,81.58,48.735
geosciences journal,7153,1.651,1.78,5.7,98.51,34.75
language learning and development,7153,1.651,,7.9,100.0,51.869
marine mammal science,7153,1.651,1.915,11.8,100.0,64.154
harvard international law journal,7156,1.65,2.72,12.6,100.0,75.0
hematology,7156,1.65,1.406,5.5,90.53,21.711
journal of agricultural biological and environmental statistics,7156,1.65,1.528,10.9,100.0,49.908
journal of sport rehabilitation,7156,1.65,1.905,6.7,96.55,39.191
materials express,7156,1.65,1.614,4.5,97.84,23.407
politics & gender,7156,1.65,2.538,7.8,94.87,68.472
current neurovascular research,7162,1.649,1.876,6.9,93.1,17.765
mathematical biosciences,7162,1.649,1.641,15.9,97.22,39.001
transactions of the institute of measurement and control,7162,1.649,1.768,3.3,99.74,42.491
folia parasitologica,7165,1.648,1.386,12.8,100.0,44.872
fullerenes nanotubes and carbon nanostructures,7165,1.648,1.354,4.5,99.18,23.225
international journal of mental health and addiction,7165,1.648,1.768,5.0,90.57,31.922
international journal of mental health and addiction,7165,1.648,1.768,5.0,90.57,31.922
journal of performance of constructed facilities,7165,1.648,1.631,5.5,99.08,44.495
journal of food measurement and characterization,7165,1.648,1.649,2.3,98.81,36.331
current sociology,7171,1.647,2.113,7.8,98.21,58.333
clinical child psychology and psychiatry,7171,1.647,1.784,8.8,90.32,34.599
clinical child psychology and psychiatry,7171,1.647,1.784,8.8,90.32,34.599
journal of nervous and mental disease,7171,1.647,2.082,13.5,86.36,26.754
journal of nervous and mental disease,7171,1.647,2.082,13.5,86.36,26.754
landscape and ecological engineering,7171,1.647,1.252,7.4,100.0,42.502
salud publica de mexico,7171,1.647,1.522,8.5,95.7,47.353
international journal of polymer science,7178,1.646,2.029,4.5,92.56,38.764
physiological and molecular plant pathology,7178,1.646,1.616,14.5,93.75,52.35
journal of biosciences,7180,1.645,1.831,9.8,75.0,37.097
journal of neurosurgical sciences,7180,1.645,1.742,4.5,55.41,30.291
journal of the society for information display,7180,1.645,1.287,7.8,100.0,33.117
australian & new zealand journal of obstetrics & gynaecology,7183,1.644,1.853,8.9,92.31,29.878
housing policy debate,7183,1.644,1.922,12.1,98.04,42.233
journal of occupational and environmental medicine,7183,1.644,1.965,9.5,99.04,33.938
journal of science education and technology,7183,1.644,2.218,7.8,98.0,51.521
journal of science education and technology,7183,1.644,2.218,7.8,98.0,51.521
structure and bonding,7183,1.644,2.436,13.1,0.0,31.09
entrepreneurship research journal,7189,1.643,2.194,4.8,100.0,24.013
nebraska symposium on motivation,7189,1.643,1.462,29.6,,41.406
european journal of ophthalmology,7191,1.642,1.628,7.6,92.63,39.167
earthquake engineering and engineering vibration,7191,1.642,1.854,7.7,100.0,31.606
ecological processes,7191,1.642,,4.8,81.82,32.955
international journal of bilingualism,7191,1.642,1.797,8.0,100.0,77.807
journal of oral and maxillofacial surgery,7191,1.642,2.02,10.4,90.1,46.703
journal of topology,7191,1.642,1.714,5.4,100.0,89.352
journal of transportation safety & security,7191,1.642,1.461,3.8,97.22,25.676
mathematical modelling of natural phenomena,7191,1.642,1.223,5.5,97.44,54.786
zebrafish,7191,1.642,2.037,5.8,97.83,42.302
chemotherapy,7200,1.641,1.493,11.0,80.95,12.832
employee relations,7200,1.641,2.423,6.5,96.88,35.0
journal of solar energy engineering-transactions of the asme,7200,1.641,1.669,11.0,93.0,30.422
parasitology research,7200,1.641,1.843,7.4,95.6,42.308
reproduction in domestic animals,7200,1.641,1.773,7.6,96.19,48.363
arctic science,7205,1.64,,2.3,100.0,32.469
journal of business economics and management,7205,1.64,1.741,5.2,100.0,41.934
canadian respiratory journal,7207,1.639,1.678,7.6,90.48,16.406
erdkunde,7207,1.639,1.389,9.2,95.0,34.631
erdkunde,7207,1.639,1.389,9.2,95.0,34.631
international journal of strategic property management,7207,1.639,1.602,5.9,96.97,24.558
journal of paleolimnology,7207,1.639,1.972,11.9,100.0,42.506
social anthropology,7207,1.639,,7.5,87.5,71.667
american journal of hospice & palliative medicine,7213,1.638,1.615,5.3,87.5,27.941
biotechnology and applied biochemistry,7213,1.638,1.591,8.5,93.64,17.588
canadian journal of public health-revue canadienne de sante publique,7213,1.638,1.888,9.7,95.59,46.765
journal of diversity in higher education,7213,1.638,2.525,6.0,90.63,47.224
water science and technology,7213,1.638,1.632,11.5,84.6,27.122
agroecology and sustainable food systems,7218,1.636,1.872,4.0,93.48,45.069
homicide studies,7218,1.636,1.964,10.3,100.0,63.043
international journal of dairy technology,7218,1.636,1.535,8.1,91.55,35.612
japanese journal of mathematics,7218,1.636,1.161,13.0,100.0,89.043
macromolecular theory and simulations,7218,1.636,1.36,10.3,100.0,37.64
acta radiologica,7223,1.635,1.613,8.6,94.15,28.195
emotion space and society,7223,1.635,2.184,5.6,100.0,51.786
medicina clinica,7223,1.635,1.329,9.7,76.42,47.576
stereotactic and functional neurosurgery,7223,1.635,2.023,9.6,89.74,21.438
anatomical record-advances in integrative anatomy and evolutionary biology,7227,1.634,1.817,8.1,95.34,50.0
environmental modeling & assessment,7227,1.634,1.479,8.4,100.0,26.604
international journal of material forming,7227,1.634,1.713,8.3,97.33,35.517
population,7227,1.634,1.692,13.5,100.0,53.448
brazilian oral research,7231,1.633,1.529,5.8,95.24,45.604
journal of chemometrics,7231,1.633,2.013,13.6,98.65,44.345
journal of environmental law,7231,1.633,1.57,5.9,95.83,47.135
pacific review,7231,1.633,1.719,7.3,100.0,75.024
biometrika,7235,1.632,2.341,36.1,100.0,46.6
journal of crystal growth,7235,1.632,1.684,13.5,100.0,34.02
social service review,7235,1.632,2.071,14.8,90.91,78.409
sola,7235,1.632,1.556,7.6,100.0,26.344
veterinary clinics of north america-food animal practice,7235,1.632,1.994,10.9,100.0,71.479
theoretical economics,7240,1.631,2.074,5.6,100.0,60.243
